id,Diagnostics,Memory,Performance,Security,ProjectManagement,CI,Testing,Updating,C++,Python,ES6+,NewFeature,CoreFeature,OperationalErrors,ProgrammerErrors
8822573,0,0,"62,3904823571943","2,67963784177383","49,5926687962235","61,9115254165841","249,388766200332","453,550030169741","145,346251093275","5,97708038317409","3,85207625006322","12,1773347831449",0,"119,712345198268","1,64872127070013"
2352663,0,0,"13,5961990419226","2,56805083337548","60,28063655367","86,2367103092457","88,1265764989248","236,201633804224","133,52621627658","11,2879400492869",0,"20,0562452826331",0,"37,967233975402",0
598730,0,0,"1,64872127070013",0,0,0,"6,34177623718647","35,385136563752","47,0905334361434",0,0,"20,8542158061605",0,"22,6857662429687",0
899444,0,"7,48427981665853","55,4830689263343","13,5260527374281","73,48153116627","130,220985007617","294,917550306101","825,614530292526","1341,42644307224","9,83786579110518","3,85207625006322","23,2992259909378",0,"67,2876818194239","2,44280551632034"
54666,0,"4,05148444172594","110,441003587703","9,97938762832087","22,2011173616044","59,2079875092907","112,198725294452","370,080725436148","207,159553855464","1,64872127070013","3,85207625006322","4,43994612087231",0,"29,9642114358728","1,18136041286565"
1443911,0,"1,22140275816017","12,2945424627907","3,78945359153565","10,3701320332435","27,8507591202084","298,520485085863","161,403592720529","25,621187008556","1,64872127070013","1,28402541668774","4,43994612087231",0,"26,5301962080458",0
3065230,0,0,"4,36700309915917",0,"1,64872127070013","4,36700309915917","12,2687397389223","161,449065726427","4,36700309915917",0,0,"2,71828182845904",0,"7,41133679494539",0
5952481,0,0,"11,628108899021","7,15822794933135","15,6391253020357","26,1677388144804","8,37367455051654","173,567632233925","146,439175387752",0,"1,28402541668774","33,0886757646081",0,"23,5180358015239",0
439929,0,"4,22569410865186","49,009319795267","16,9757961529797","63,4832786500951","55,0387907718087","362,788105312054","852,920029308458","537,11615851078","2,61701518324626","6,53171409183706","26,0175078193968","1,18136041286565","128,031417427892","1,22140275816017"
2512748,0,"4,09152678702047","10,1069156711523","2,8701240288603","7,94360303708369","21,6498215984126","394,839615761402","340,470350172512","232,021930040766",0,0,"4,32835911247396",0,"23,3448890074798","1,22140275816017"
1538624,0,"1,39561242508609","24,7312439422621","2,67963784177383","11,7794027669864","26,2384433757466","53,6356668511257","165,274101829783","194,873195350036",0,"5,13610166675097","6,8664751170321",0,"18,4227038672218",0
4299420,0,"3,04433369578622","13,3165370292882","3,96366325846157","21,9433204254187","90,4067419864608","109,143777322184","247,342157441456","317,409466885154","7,73738866227256","1,28402541668774","13,572947208231",0,"115,557568497591","1,64872127070013"
1093990,0,"5,90680206432823","30,9857799474682",0,"35,7392935375454","22,1833541848089","106,984981056453","194,912442493777","84,3597812779414",0,0,0,"1,22140275816017","6,46909143330948","2,40276317102582"
696611,0,"3,58412358389146","13,6284165965162","1,39561242508609","20,9346348093352","62,0890687193162","182,117962695867","211,914161590162","88,684886052339","17,980205499393",0,"1,39561242508609",0,"19,4209326085853","2,40276317102582"
718899,0,"1,18136041286565","18,3013448280738","11,3853204165925","119,587453609385","128,979120840457","698,037957954853","360,809885708011","130,651855123993","14,5608555864089",0,"10,7817223580588",0,"71,0003427234818","1,22140275816017"
52195,0,"1,64872127070013","23,9976642625927","4,43994612087231","13,6899420411684","13,8580607617302","32,7052038697709","270,637744511824","72,3442993629084","1,39561242508609","2,56805083337548","9,65769996720428",0,"22,5371464532028",0
505333,0,0,"6,78482293745109",0,"2,50542817484791","2,50542817484791","6,42012708343871","35,4361370007006","51,7489277430712",0,0,"1,39561242508609",0,0,0
17607,0,0,"5,01085634969582","6,70854197026673","16,4647555817909","35,6942287890936","76,6738582083494","161,374539122355","177,35337632252","6,59488508280051",0,"1,64872127070013",0,"10,5585483412621","1,22140275816017"
96947,0,"4,22569410865186","11,667815758588",0,"49,2791526965312","213,328932125565","231,226035183347","138,604314852822","200,37751583205","32,0588220664162","6,42012708343871",0,0,"40,5042447965274","1,28402541668774"
238531,0,"4,82810665528468","2,44280551632034","6,16963644932842","2,50542817484791","7,63679353751833","21,7990782061583","71,9651408408381","79,9646027089666",0,0,0,0,"1,28402541668774","1,22140275816017"
10393198,0,"1,64872127070013","9,79922180441997","11,5595300835184","59,6710672517211","43,8600073553489","81,0335734483299","296,057800309294","134,041468833803","3,04433369578622","6,6433011002354","20,9456400164911",0,"44,2247032093613",0
289174,0,"4,72544165146258","20,4260460943052","1,22140275816017","2,40276317102582","9,87900535027503","20,6765367284155","127,201974252067","116,254850780453",0,0,0,0,0,"2,40276317102582"
275871,0,"15,6584922184802","44,6726462947459","15,604162399736","32,7755973619673","269,292373241271","206,276017504455","502,913295909357","890,284406945273","32,3320937100979",0,"3,29744254140026",0,"20,9613682042158","6,49428995804628"
37303,0,0,"1,18136041286565",0,"3,54408123859694","2,36272082573129","1,18136041286565","25,0087803966512","2,40276317102582",0,0,0,0,0,0
